origin,translation
30 libbre sapone,30 pounds of soap
non pagar affitto per esser detta casa di sospetto,not paying rent for said house of suspicion
"24 libbre savon, 12 balle  savon","24 pounds of soap, 12 balls of soap"
8 panni da zucchero,8 sugar cloths
9 libbre zuccaro,9 pounds of sugar
50 libbre candelle di secco,50 pounds of dry candles
6 libbre di zuccaro,6 pounds of sugar
"1 par mulle, 1 par  scarpe","1 pair of mules, 1 pair of shoes"
3 libbre zuccaro,3 pounds of sugar
12 numero zuccari,12 number zuccari
18 libbre cera,18 pounds of wax
12 libbre caffè,12 pounds of coffee
250 libbre vitello,250 pounds of veal
8 pani zucchero,8 loaves of sugar
7 lire regalie,7 royal lire
20 lire regalie,20 royal lire
40 stare semola,40 old semolina
20 libbre candelle di seco,20 pounds of dry candles
12 lire saon,12 venetian pounds
4 panni zuccaro,4 cloths of sugar
1 cestello frutti,1 basket of fruits
10 corbe carbon,10 baskets of coal
6 libbre cera,6 pounds of wax
4 pani zucharo,4 loaves of sugar
24 libbre zuccari,24 pounds of sugar
non pagar affitto,not paying rent
10 lire in contanti regalia,10 lire in cash royalty
2 ducati frutti,2 ducats of fruits
10 ducati regalie,10 gift ducats
20 regalia,20 regalia
"300 libbre savon, 3 miri  oglio","300 pounds of soap, 3 measures of oil"
20 libbre di zucchero,20 pounds of sugar
16 libbre zuccari,16 pounds of sugar
4 pani zuchero,4 loaves of sugar
25 libre sapone,25 pounds of soap
6 libbre zuccaro,6 pounds of sugar
50 libbre savon,50 pounds of soap
2 libbre lino munighino,2 pounds of munighino linen
1 sechi overo ducati correnti  4 vin de Cipro,1 dry or current ducats 4 wine from cyprus
24 lire di pani zucchero,24 loaves of sugar bread
4 cera lavorata,4 worked wax
Alle Decime del Clero,to the tithes of the clergy
6 pani da lire uno zuccaro,6 loaves to read one sugar
"6 pani zucaro, 4 numero  magioli","6 loaves of sugar, 4 number beans"
regalie,royalties
6 regalia,6 regalia
20 sapon,20 soaps
2 legne di manzo,2 logs of beef
[...] candele di seo,[...] candles of seo
8 ducati regalie,8 royal ducats
molte le dà anche per carità,he gives many of them out of charity
5 ducati dei quali annualmente sono obligati per tante messe,5 ducats which are obligated annually for so many masses
12 libbre caffé,12 pounds of coffee
12 pani zucharo,12 loaves of sugar
40 stara semola,40 old semolina
24 libbre cera lavorada,24 pounds of processed wax
20 libbre sal,20 pounds of salt
20 pani da lire una e mezza zuccaro,20 loaves of bread for one and a half lire of sugar
12 stera semola,12 bushels of semolina
12 panni da zuccaro,12 sugar cloths
12 pani da una libbra e meza zuccaro,12 loaves from a pound and a half of sugar
30 lire de piccoli regalia,30 pounds of small royalties
8 mastelli calcina,8 barrels of lime
4 pani da lira zucari,4 loaves of lira sugar
"10 libbre zuccaro, 6 libbre  pestacchi, 10 lire  contanti","10 pounds of sugar, 6 pounds of pistachios, 10 pounds in cash"
"7 libbre zucchero, 6 corbe  carbon","7 pounds sugar, 6 baskets of coal"
libbre 6 cera,6 pounds of wax
12 libbre zucchero,12 pounds of sugar
12 pani da libbra e mezza zuccaro,12 loaves of one and a half pound sugar
8 lingue,8 languages
"31 libbre cera, 12 libbre  zuccaro","31 pounds of wax, 12 pounds of sugar"
"6 pani da libbre una e mezza zucaro, 2  guanti de vetello","6 loaves of one and a half pound sugar, 2 veal gloves"
6 pani da libbre una e mezza zucaro,6 loaves of one and a half pound sugar
4 ducati regalie,4 royal ducats
12 pani da libbre una e mezza zucari,12 loaves of one and a half pounds of sugar
con obligo di governar un porco,with the obligation to raise a pig
sapone libbre 30,soap pounds 30
12 libbre zuccaro,12 pounds of sugar
4 pani zuccari,4 loaves of sugar
16 libbre zucchero,16 pounds of sugar
"2 para pernise, 25 libbre  formaggio piasentin","2 pairs for venison, 25 pounds piasentin cheese"
amore dei,love of the
80 numero nose,80 number nose
6 di mezza libbra magioli,6 of half pound magioli
2 para pernise,2 pairs of ducks
5 regalia,5 regalia
6 cera lavorata,6 worked wax
24 balle savon,24 soap balls
gratis,free
6 panni di zucchero,6 cloths of sugar
25 libbre sapone bianco,25 pounds of white soap
"10 lire cera, 27 lire  zuchero","10 lira wax, 27 lira sugar"
6 pani zucaro,6 loaves of sugar
amor dei,love of god
40 lire regalia de frutti con saon,40 royal lire of fruits with soap
21 lire zucheri,21 sugar lire
6 pani zucchero,6 loaves of sugar
8 lire regalie,8 royal lire
10 ducatu regalie,10 ducats royalty
20 libbre formaglio,20 pounds of cheese
4 ducati regalia,4 royal ducats
12 libbre sapone bianco,12 pounds of white soap
"4 pani da libbre una e mezza zuccaro, 36 pani  pasta","4 loaves of one and a half pound sugar, 36 bread loaves pasta"
per grazia,for grace
12 pani zucaro,12 loaves of sugar
2 para calzze di seda,2 pairs of silk stockings
2 para pernici,2 acres for damage
"1 vitello, 1  capretto","1 calf, 1 kid"
12 balle savon,12 soap balls
25 lire saon,25 saon lire
200 libbre sapone,200 pounds of soap
per carità,for goodness sake
2 pera pernice,2 pear partridge
8 pani zuccari,8 loaves of sugar
1 ducato seda di colori,1 ducat of colored silk
